date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-03-01T00:00:00,TPCP,GHCND:AGM00060571,10,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060580,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060581,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060602,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060607,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060620,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060630,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060640,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060656,3,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060670,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AG000060390,327,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AG000060590,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AG000060611,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AG000060680,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGE00147708,910,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGE00147716,421,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGE00147718,303,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060351,583,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060353,431,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060360,318,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060402,426,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060403,447,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060419,612,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060421,165,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060423,683,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060425,265,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060430,275,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060437,352,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060444,480,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060445,551,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060452,186,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060457,488,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060461,8,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060467,203,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060468,560,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060471,480,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060475,788,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060490,188,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060507,406,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060511,138,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060514,277,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060515,208,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060518,206,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060520,179,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060522,527,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060531,282,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060535,356,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060536,289,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060540,485,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060549,121,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060550,271,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060555,101,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060557,88,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060559,89,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060560,3,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060563,33,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060566,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060571,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060580,8,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060581,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060602,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060607,5,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060620,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060630,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060640,30,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060656,0,0,0,Algeria,TPCP
2010-04-01T00:00:00,TPCP,GHCND:AGM00060670,5,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AG000060390,234,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AG000060590,5,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AG000060611,8,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AG000060680,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGE00147708,534,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGE00147716,190,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGE00147718,40,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060351,820,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060353,918,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060360,310,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060402,503,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060403,529,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060419,500,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060421,193,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060423,818,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060425,195,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060430,358,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060437,567,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060444,360,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060445,737,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060452,274,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060457,169,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060461,381,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060467,35,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060468,350,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060471,209,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060475,362,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060490,225,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060507,335,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060511,415,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060514,332,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060515,200,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060518,99,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060520,257,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060522,120,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060531,175,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060535,431,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060536,689,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060540,291,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060549,131,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060550,465,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060555,20,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060557,161,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060559,11,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060560,79,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060563,251,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060566,46,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060571,5,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060580,20,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060581,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060602,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060607,10,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060620,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060630,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060640,0,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060656,61,0,0,Algeria,TPCP
2010-05-01T00:00:00,TPCP,GHCND:AGM00060670,0,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AG000060390,40,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AG000060590,0,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AG000060611,0,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AG000060680,210,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGE00147708,274,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGE00147716,146,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGE00147718,274,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060351,490,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060353,608,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060360,185,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060402,381,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060403,232,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060419,170,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060421,371,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060423,368,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060425,20,0,0,Algeria,TPCP
2010-06-01T00:00:00,TPCP,GHCND:AGM00060430,18,0,0,Algeria,TPCP
