country,year,oil_production_barrels,region
Malaysia,1982,304, Asia Pacific
Malaysia,1983,385, Asia Pacific
Malaysia,1984,446, Asia Pacific
Malaysia,1985,445, Asia Pacific
Malaysia,1986,500, Asia Pacific
Malaysia,1987,494, Asia Pacific
Malaysia,1988,540, Asia Pacific
Malaysia,1989,589, Asia Pacific
Malaysia,1990,622, Asia Pacific
Malaysia,1991,648, Asia Pacific
Malaysia,1992,657, Asia Pacific
Malaysia,1993,645, Asia Pacific
Malaysia,1994,657, Asia Pacific
Malaysia,1995,704, Asia Pacific
Malaysia,1996,716, Asia Pacific
Malaysia,1997,714, Asia Pacific
Malaysia,1998,725, Asia Pacific
Malaysia,1999,691, Asia Pacific
Malaysia,2000,723.61, Asia Pacific
Malaysia,2001,703.77, Asia Pacific
Malaysia,2002,741.36, Asia Pacific
Malaysia,2003,760.78, Asia Pacific
Malaysia,2004,776.95, Asia Pacific
Malaysia,2005,741.54, Asia Pacific
Malaysia,2006,696.8, Asia Pacific
Malaysia,2007,725.47, Asia Pacific
Malaysia,2008,727.17, Asia Pacific
Malaysia,2009,688.02, Asia Pacific
Malaysia,2010,732.65, Asia Pacific
Malaysia,2011,659.34, Asia Pacific
Malaysia,2012,662.63, Asia Pacific
Malaysia,2013,627.02, Asia Pacific
Malaysia,2014,648.82, Asia Pacific
Malaysia,2015,696.32, Asia Pacific
Malaysia,2016,703.56, Asia Pacific
Malaysia,2017,682.8, Asia Pacific
Malaysia,2018,681.91, Asia Pacific
Other Asia Pacific,1965,35.11, Asia Pacific
Other Asia Pacific,1966,34.09, Asia Pacific
Other Asia Pacific,1967,31.09, Asia Pacific
Other Asia Pacific,1968,35.11, Asia Pacific
Other Asia Pacific,1969,36.43, Asia Pacific
Other Asia Pacific,1970,39.51, Asia Pacific
Other Asia Pacific,1971,42.42, Asia Pacific
Other Asia Pacific,1972,44.3, Asia Pacific
Other Asia Pacific,1973,47.06, Asia Pacific
Other Asia Pacific,1974,47.34, Asia Pacific
Other Asia Pacific,1975,47.58, Asia Pacific
Other Asia Pacific,1976,61.98, Asia Pacific
Other Asia Pacific,1977,72.33, Asia Pacific
Other Asia Pacific,1978,72.13, Asia Pacific
Other Asia Pacific,1979,92.36, Asia Pacific
Other Asia Pacific,1980,77.17, Asia Pacific
Other Asia Pacific,1981,77.89, Asia Pacific
Other Asia Pacific,1982,84.88, Asia Pacific
Other Asia Pacific,1983,90.17, Asia Pacific
Other Asia Pacific,1984,102.64, Asia Pacific
Other Asia Pacific,1985,122.04, Asia Pacific
Other Asia Pacific,1986,124.98, Asia Pacific
Other Asia Pacific,1987,119.07, Asia Pacific
Other Asia Pacific,1988,123.3, Asia Pacific
Other Asia Pacific,1989,132.54, Asia Pacific
Other Asia Pacific,1990,142.81, Asia Pacific
Other Asia Pacific,1991,146.22, Asia Pacific
Other Asia Pacific,1992,202.42, Asia Pacific
Other Asia Pacific,1993,274.2, Asia Pacific
Other Asia Pacific,1994,256.77, Asia Pacific
Other Asia Pacific,1995,227.47, Asia Pacific
Other Asia Pacific,1996,242.21, Asia Pacific
Other Asia Pacific,1997,224.12, Asia Pacific
Other Asia Pacific,1998,214.5, Asia Pacific
Other Asia Pacific,1999,216.57, Asia Pacific
Other Asia Pacific,2000,196.86, Asia Pacific
Other Asia Pacific,2001,192.53, Asia Pacific
Other Asia Pacific,2002,196.44, Asia Pacific
Other Asia Pacific,2003,192.72, Asia Pacific
Other Asia Pacific,2004,234.33, Asia Pacific
Other Asia Pacific,2005,284.74, Asia Pacific
Other Asia Pacific,2006,304.19, Asia Pacific
Other Asia Pacific,2007,319.39, Asia Pacific
Other Asia Pacific,2008,340.6, Asia Pacific
Other Asia Pacific,2009,329.89, Asia Pacific
Other Asia Pacific,2010,314.91, Asia Pacific
Other Asia Pacific,2011,299.26, Asia Pacific
Other Asia Pacific,2012,287.04, Asia Pacific
Other Asia Pacific,2013,271.98, Asia Pacific
Other Asia Pacific,2014,306.96, Asia Pacific
Other Asia Pacific,2015,308.5, Asia Pacific
Other Asia Pacific,2016,291.99, Asia Pacific
Other Asia Pacific,2017,280.67, Asia Pacific
Other Asia Pacific,2018,249.16, Asia Pacific
Thailand,1965,, Asia Pacific
Thailand,1966,, Asia Pacific
Thailand,1967,, Asia Pacific
Thailand,1968,, Asia Pacific
Thailand,1969,, Asia Pacific
Thailand,1970,, Asia Pacific
Thailand,1971,, Asia Pacific
Thailand,1972,, Asia Pacific
Thailand,1973,, Asia Pacific
Thailand,1974,, Asia Pacific
Thailand,1975,, Asia Pacific
Thailand,1976,, Asia Pacific
Thailand,1977,, Asia Pacific
Thailand,1978,, Asia Pacific
Thailand,1979,, Asia Pacific
Thailand,1980,, Asia Pacific
Thailand,1981,1.6, Asia Pacific
Thailand,1982,5.9, Asia Pacific
Thailand,1983,13.3, Asia Pacific
Thailand,1984,23.8, Asia Pacific
Thailand,1985,48.5, Asia Pacific
Thailand,1986,48.45, Asia Pacific
Thailand,1987,44.78, Asia Pacific
Thailand,1988,50.97, Asia Pacific
Thailand,1989,48.91, Asia Pacific
Thailand,1990,59.78, Asia Pacific
Thailand,1991,70.99, Asia Pacific
Thailand,1992,83.56, Asia Pacific
Thailand,1993,86.86, Asia Pacific
Thailand,1994,86.23, Asia Pacific
Thailand,1995,84.79, Asia Pacific
Thailand,1996,95.96, Asia Pacific
Thailand,1997,109.43, Asia Pacific
Thailand,1998,113.45, Asia Pacific
Thailand,1999,122.8, Asia Pacific
Thailand,2000,187.87, Asia Pacific
Thailand,2001,199.82, Asia Pacific
Thailand,2002,215.32, Asia Pacific
Thailand,2003,249.15, Asia Pacific
Thailand,2004,245.61, Asia Pacific
Thailand,2005,301.85, Asia Pacific
Thailand,2006,331.32, Asia Pacific
Thailand,2007,348.26, Asia Pacific
Thailand,2008,367.64, Asia Pacific
Thailand,2009,383.04, Asia Pacific
Thailand,2010,390.63, Asia Pacific
Thailand,2011,427.95, Asia Pacific
Thailand,2012,468.05, Asia Pacific
Thailand,2013,462.19, Asia Pacific
Thailand,2014,460.93, Asia Pacific
Thailand,2015,477.81, Asia Pacific
Thailand,2016,485.58, Asia Pacific
Thailand,2017,483.35, Asia Pacific
Thailand,2018,484.84, Asia Pacific
Vietnam,1965,, Asia Pacific
Vietnam,1966,, Asia Pacific
Vietnam,1967,, Asia Pacific
Vietnam,1968,, Asia Pacific
Vietnam,1969,, Asia Pacific
Vietnam,1970,, Asia Pacific
Vietnam,1971,, Asia Pacific
Vietnam,1972,, Asia Pacific
Vietnam,1973,, Asia Pacific
Vietnam,1974,, Asia Pacific
