country,type,year,inter_reg
Other CIS,Europe,2003,0
Other CIS,Middle East,2003,5.15
Other CIS,Russia,2003,41.11
Other CIS,Total exports,2003,46.26
Middle East,Pipeline imports,2003,5.15
Middle East,of which: Africa,2003,0
Middle East,Other CIS,2003,5.15
Middle East,LNG imports,2003,0
Middle East,Total imports,2003,5.15
Middle East,Pipeline exports,2003,3.41
Middle East,LNG exports,2003,36.36
Middle East,Total exports,2003,39.77
Africa,LNG imports,2003,0
Africa,Total imports,2003,0
Africa,Pipeline exports,2003,29.79
Africa,of which: Europe,2003,29.79
Africa,Middle East,2003,0
Africa,LNG exports,2003,41.65
Africa,Total exports,2003,71.44
China,Pipeline imports,2003,0
China,of which: Other Asia,2003,0
China,Other CIS,2003,0
China,LNG imports,2003,0
China,Total imports,2003,0
India,LNG imports,2003,0
India,Total imports,2003,0
India,LNG exports,2003,0
India,Total exports,2003,0
OECD Asia,Pipeline imports,2003,0
OECD Asia,LNG imports,2003,107.76
OECD Asia,Total imports,2003,107.76
OECD Asia,LNG exports,2003,10.65
OECD Asia,Total exports,2003,10.65
Other Asia,LNG imports,2003,7.83
Other Asia,Total imports,2003,7.83
Other Asia,Pipeline exports,2003,0
Other Asia,of which: China,2003,0
Other Asia,OECD Asia,2003,0
Other Asia,LNG exports,2003,69.94
Other Asia,Total exports,2003,69.94
World,Inter-regional pipeline trade,2003,408.15
World,LNG trade,2003,171.95
World,Total trade,2003,580.1
US,Pipeline imports,2004,98.3
US,LNG imports,2004,18.21
US,Total imports,2004,116.51
US,Pipeline exports,2004,21.58
US,LNG exports,2004,1.7
US,Total exports,2004,23.28
Other North America,Pipeline imports,2004,21.58
Other North America,LNG imports,2004,0
Other North America,Total imports,2004,21.58
Other North America,Pipeline exports,2004,98.3
Other North America,LNG exports,2004,0
Other North America,Total exports,2004,98.3
Brazil,Pipeline imports,2004,7.65
Brazil,LNG imports,2004,0
Brazil,Total imports,2004,7.65
Brazil,LNG exports,2004,0
Brazil,Total exports,2004,0
Other S&C America,LNG imports,2004,0.9
Other S&C America,Total imports,2004,0.9
Other S&C America,Pipeline exports,2004,7.65
Other S&C America,LNG exports,2004,13.71
Other S&C America,Total exports,2004,21.36
Europe,Pipeline imports,2004,245.84
Europe,of which: Russia,2004,208.7
Europe,Africa,2004,33.7
Europe,Other CIS,2004,0
Europe,Middle East,2004,3.44
Europe,LNG imports,2004,40.06
Europe,Total imports,2004,285.9
Europe,LNG exports,2004,0.02
Europe,Total exports,2004,0.02
Russia,Pipeline imports,2004,47.77
Russia,Total imports,2004,47.77
Russia,Pipeline exports,2004,230.91
Russia,of which: Europe,2004,208.7
Russia,Other CIS,2004,22.21
Russia,LNG exports,2004,0
Russia,Total exports,2004,230.91
Other CIS,Pipeline imports,2004,22.21
Other CIS,Total imports,2004,22.21
Other CIS,Pipeline exports,2004,53.21
Other CIS,of which: China,2004,0
Other CIS,Europe,2004,0
Other CIS,Middle East,2004,5.44
Other CIS,Russia,2004,47.77
Other CIS,Total exports,2004,53.21
Middle East,Pipeline imports,2004,6.73
Middle East,of which: Africa,2004,1.29
Middle East,Other CIS,2004,5.44
Middle East,LNG imports,2004,0
Middle East,Total imports,2004,6.73
Middle East,Pipeline exports,2004,3.44
Middle East,LNG exports,2004,42.46
Middle East,Total exports,2004,45.9
Africa,LNG imports,2004,0
Africa,Total imports,2004,0
Africa,Pipeline exports,2004,34.99
Africa,of which: Europe,2004,33.7
Africa,Middle East,2004,1.29
Africa,LNG exports,2004,38.86
Africa,Total exports,2004,73.85
China,Pipeline imports,2004,0
China,of which: Other Asia,2004,0
China,Other CIS,2004,0
China,LNG imports,2004,0
China,Total imports,2004,0
India,LNG imports,2004,2.75
India,Total imports,2004,2.75
India,LNG exports,2004,0
India,Total exports,2004,0
OECD Asia,Pipeline imports,2004,0
OECD Asia,LNG imports,2004,109.19
OECD Asia,Total imports,2004,109.19
OECD Asia,LNG exports,2004,12.19
OECD Asia,Total exports,2004,12.19
Other Asia,LNG imports,2004,9.56
Other Asia,Total imports,2004,9.56
Other Asia,Pipeline exports,2004,0
Other Asia,of which: China,2004,0
Other Asia,OECD Asia,2004,0
Other Asia,LNG exports,2004,71.73
Other Asia,Total exports,2004,71.73
World,Inter-regional pipeline trade,2004,450.08
World,LNG trade,2004,180.67
World,Total trade,2004,630.75
US,Pipeline imports,2005,101.11
US,LNG imports,2005,17.57
US,Total imports,2005,118.68
US,Pipeline exports,2005,18.08
US,LNG exports,2005,1.93
US,Total exports,2005,20
Other North America,Pipeline imports,2005,18.08
Other North America,LNG imports,2005,0
Other North America,Total imports,2005,18.08
Other North America,Pipeline exports,2005,101.11
Other North America,LNG exports,2005,0
Other North America,Total exports,2005,101.11
Brazil,Pipeline imports,2005,8.52
Brazil,LNG imports,2005,0
Brazil,Total imports,2005,8.52
Brazil,LNG exports,2005,0
Brazil,Total exports,2005,0
Other S&C America,LNG imports,2005,0.96
Other S&C America,Total imports,2005,0.96
Other S&C America,Pipeline exports,2005,8.52
Other S&C America,LNG exports,2005,13.64
Other S&C America,Total exports,2005,22.15
Europe,Pipeline imports,2005,262.93
Europe,of which: Russia,2005,216.46
Europe,Africa,2005,42.29
Europe,Other CIS,2005,0
Europe,Middle East,2005,4.18
Europe,LNG imports,2005,49.81
Europe,Total imports,2005,312.74
Europe,LNG exports,2005,0.07
Europe,Total exports,2005,0.07
Russia,Pipeline imports,2005,50.25
Russia,Total imports,2005,50.25
Russia,Pipeline exports,2005,239.14
Russia,of which: Europe,2005,216.46
Russia,Other CIS,2005,22.68
Russia,LNG exports,2005,0
Russia,Total exports,2005,239.14
Other CIS,Pipeline imports,2005,22.68
Other CIS,Total imports,2005,22.68
Other CIS,Pipeline exports,2005,56.32
Other CIS,of which: China,2005,0
Other CIS,Europe,2005,0
Other CIS,Middle East,2005,6.07
Other CIS,Russia,2005,50.25
Other CIS,Total exports,2005,56.32
Middle East,Pipeline imports,2005,6.69
Middle East,of which: Africa,2005,0.62
Middle East,Other CIS,2005,6.07
Middle East,LNG imports,2005,0
Middle East,Total imports,2005,6.69
Middle East,Pipeline exports,2005,4.18
Middle East,LNG exports,2005,45.15
Middle East,Total exports,2005,49.33
Africa,LNG imports,2005,0
Africa,Total imports,2005,0
Africa,Pipeline exports,2005,42.91
Africa,of which: Europe,2005,42.29
Africa,Middle East,2005,0.62
Africa,LNG exports,2005,47.34
Africa,Total exports,2005,90.25
China,Pipeline imports,2005,0
China,of which: Other Asia,2005,0
China,Other CIS,2005,0
China,LNG imports,2005,0
China,Total imports,2005,0
India,LNG imports,2005,6.32
India,Total imports,2005,6.32
India,LNG exports,2005,0
India,Total exports,2005,0
OECD Asia,Pipeline imports,2005,0
OECD Asia,LNG imports,2005,110.66
OECD Asia,Total imports,2005,110.66
OECD Asia,LNG exports,2005,15.46
OECD Asia,Total exports,2005,15.46
Other Asia,LNG imports,2005,9.81
Other Asia,Total imports,2005,9.81
Other Asia,Pipeline exports,2005,0
Other Asia,of which: China,2005,0
Other Asia,OECD Asia,2005,0
Other Asia,LNG exports,2005,71.57
Other Asia,Total exports,2005,71.57
World,Inter-regional pipeline trade,2005,470.26
World,LNG trade,2005,195.14
World,Total trade,2005,665.4
US,Pipeline imports,2006,98.19
US,LNG imports,2006,16.21
US,Total imports,2006,114.4
US,Pipeline exports,2006,18.07
US,LNG exports,2006,1.62
US,Total exports,2006,19.69
Other North America,Pipeline imports,2006,18.07
Other North America,LNG imports,2006,0.98
Other North America,Total imports,2006,19.05
Other North America,Pipeline exports,2006,98.19
Other North America,LNG exports,2006,0
Other North America,Total exports,2006,98.19
Brazil,Pipeline imports,2006,9.26
Brazil,LNG imports,2006,0
Brazil,Total imports,2006,9.26
Brazil,LNG exports,2006,0
Brazil,Total exports,2006,0
Other S&C America,LNG imports,2006,1.02
Other S&C America,Total imports,2006,1.02
Other S&C America,Pipeline exports,2006,9.26
Other S&C America,LNG exports,2006,16.28
Other S&C America,Total exports,2006,25.55
Europe,Pipeline imports,2006,260.78
Europe,of which: Russia,2006,212.49
Europe,Africa,2006,42.77
Europe,Other CIS,2006,0.02
Europe,Middle East,2006,5.5
Europe,LNG imports,2006,58.98
Europe,Total imports,2006,319.76
Europe,LNG exports,2006,0
Europe,Total exports,2006,0
Russia,Pipeline imports,2006,55.55
Russia,Total imports,2006,55.55
Russia,Pipeline exports,2006,240.41
Russia,of which: Europe,2006,212.49
Russia,Other CIS,2006,27.92
Russia,LNG exports,2006,0
Russia,Total exports,2006,240.41
Other CIS,Pipeline imports,2006,27.92
Other CIS,Total imports,2006,27.92
Other CIS,Pipeline exports,2006,61.68
Other CIS,of which: China,2006,0
Other CIS,Europe,2006,0.02
Other CIS,Middle East,2006,6.11
Other CIS,Russia,2006,55.55
Other CIS,Total exports,2006,61.68
Middle East,Pipeline imports,2006,8.58
Middle East,of which: Africa,2006,2.47
Middle East,Other CIS,2006,6.11
Middle East,LNG imports,2006,0
Middle East,Total imports,2006,8.58
Middle East,Pipeline exports,2006,5.5
Middle East,LNG exports,2006,52.96
Middle East,Total exports,2006,58.46
Africa,LNG imports,2006,0
Africa,Total imports,2006,0
Africa,Pipeline exports,2006,45.24
Africa,of which: Europe,2006,42.77
Africa,Middle East,2006,2.47
Africa,LNG exports,2006,58.18
Africa,Total exports,2006,103.42
China,Pipeline imports,2006,0
China,of which: Other Asia,2006,0
China,Other CIS,2006,0
China,LNG imports,2006,1.05
China,Total imports,2006,1.05
India,LNG imports,2006,8.36
India,Total imports,2006,8.36
India,LNG exports,2006,0
India,Total exports,2006,0
OECD Asia,Pipeline imports,2006,3.78
OECD Asia,LNG imports,2006,120.09
OECD Asia,Total imports,2006,123.88
OECD Asia,LNG exports,2006,19.14
OECD Asia,Total exports,2006,19.14
Other Asia,LNG imports,2006,10.8
Other Asia,Total imports,2006,10.8
Other Asia,Pipeline exports,2006,3.78
Other Asia,of which: China,2006,0
Other Asia,OECD Asia,2006,3.78
Other Asia,LNG exports,2006,69.32
Other Asia,Total exports,2006,73.11
World,Inter-regional pipeline trade,2006,482.14
World,LNG trade,2006,217.49
World,Total trade,2006,699.63
US,Pipeline imports,2007,104.57
US,LNG imports,2007,21.55
US,Total imports,2007,126.12
US,Pipeline exports,2007,21.09
US,LNG exports,2007,1.24
US,Total exports,2007,22.33
Other North America,Pipeline imports,2007,21.09
Other North America,LNG imports,2007,2.27
Other North America,Total imports,2007,23.37
Other North America,Pipeline exports,2007,104.57
Other North America,LNG exports,2007,0
Other North America,Total exports,2007,104.57
Brazil,Pipeline imports,2007,9.78
Brazil,LNG imports,2007,0
Brazil,Total imports,2007,9.78
Brazil,LNG exports,2007,0
Brazil,Total exports,2007,0
Other S&C America,LNG imports,2007,1.15
Other S&C America,Total imports,2007,1.15
Other S&C America,Pipeline exports,2007,9.78
Other S&C America,LNG exports,2007,18.06
Other S&C America,Total exports,2007,27.84
Europe,Pipeline imports,2007,261.61
Europe,of which: Russia,2007,213.93
Europe,Africa,2007,40.93
Europe,Other CIS,2007,0.8
Europe,Middle East,2007,5.96
Europe,LNG imports,2007,54.36
Europe,Total imports,2007,315.97
Europe,LNG exports,2007,0.16
Europe,Total exports,2007,0.16
Russia,Pipeline imports,2007,64.23
Russia,Total imports,2007,64.23
Russia,Pipeline exports,2007,238.82
Russia,of which: Europe,2007,213.93
Russia,Other CIS,2007,24.89
Russia,LNG exports,2007,0
Russia,Total exports,2007,238.82
Other CIS,Pipeline imports,2007,24.89
Other CIS,Total imports,2007,24.89
Other CIS,Pipeline exports,2007,71.41
Other CIS,of which: China,2007,0
Other CIS,Europe,2007,0.8
Other CIS,Middle East,2007,6.38
Other CIS,Russia,2007,64.23
Other CIS,Total exports,2007,71.41
Middle East,Pipeline imports,2007,9.41
Middle East,of which: Africa,2007,3.02
Middle East,Other CIS,2007,6.38
Middle East,LNG imports,2007,0
Middle East,Total imports,2007,9.41
Middle East,Pipeline exports,2007,5.96
Middle East,LNG exports,2007,60.56
Middle East,Total exports,2007,66.51
Africa,LNG imports,2007,0
Africa,Total imports,2007,0
Africa,Pipeline exports,2007,43.95
Africa,of which: Europe,2007,40.93
Africa,Middle East,2007,3.02
Africa,LNG exports,2007,63.15
Africa,Total exports,2007,107.1
China,Pipeline imports,2007,0
China,of which: Other Asia,2007,0
China,Other CIS,2007,0
China,LNG imports,2007,4.05
China,Total imports,2007,4.05
India,LNG imports,2007,10.45
India,Total imports,2007,10.45
India,LNG exports,2007,0
India,Total exports,2007,0
OECD Asia,Pipeline imports,2007,5.16
OECD Asia,LNG imports,2007,127.98
OECD Asia,Total imports,2007,133.14
OECD Asia,LNG exports,2007,20.9
OECD Asia,Total exports,2007,20.9
Other Asia,LNG imports,2007,11.43
Other Asia,Total imports,2007,11.43
Other Asia,Pipeline exports,2007,5.16
Other Asia,of which: China,2007,0
Other Asia,OECD Asia,2007,5.16
Other Asia,LNG exports,2007,69.17
Other Asia,Total exports,2007,74.33
World,Inter-regional pipeline trade,2007,500.75
World,LNG trade,2007,233.23
World,Total trade,2007,733.98
US,Pipeline imports,2008,99
US,LNG imports,2008,9.74
US,Total imports,2008,108.74
US,Pipeline exports,2008,25.18
US,LNG exports,2008,1.01
US,Total exports,2008,26.2
Other North America,Pipeline imports,2008,25.18
Other North America,LNG imports,2008,3.78
Other North America,Total imports,2008,28.96
Other North America,Pipeline exports,2008,99
Other North America,LNG exports,2008,0
Other North America,Total exports,2008,99
Brazil,Pipeline imports,2008,10.71
Brazil,LNG imports,2008,0
Brazil,Total imports,2008,10.71
Brazil,LNG exports,2008,0
Brazil,Total exports,2008,0
Other S&C America,LNG imports,2008,1.77
Other S&C America,Total imports,2008,1.77
Other S&C America,Pipeline exports,2008,10.71
Other S&C America,LNG exports,2008,18.24
Other S&C America,Total exports,2008,28.95
Europe,Pipeline imports,2008,276.1
Europe,of which: Russia,2008,226.22
Europe,Africa,2008,44.89
Europe,Other CIS,2008,1.05
Europe,Middle East,2008,3.94
Europe,LNG imports,2008,57.41
Europe,Total imports,2008,333.51
Europe,LNG exports,2008,2.55
Europe,Total exports,2008,2.55
Russia,Pipeline imports,2008,74.45
Russia,Total imports,2008,74.45
Russia,Pipeline exports,2008,251.68
Russia,of which: Europe,2008,226.22
Russia,Other CIS,2008,25.46
Russia,LNG exports,2008,0
Russia,Total exports,2008,251.68
Other CIS,Pipeline imports,2008,25.46
Other CIS,Total imports,2008,25.46
Other CIS,Pipeline exports,2008,82.32
Other CIS,of which: China,2008,0
Other CIS,Europe,2008,1.05
Other CIS,Middle East,2008,6.82
Other CIS,Russia,2008,74.45
Other CIS,Total exports,2008,82.32
Middle East,Pipeline imports,2008,10.69
Middle East,of which: Africa,2008,3.86
Middle East,Other CIS,2008,6.82
Middle East,LNG imports,2008,0
Middle East,Total imports,2008,10.69
Middle East,Pipeline exports,2008,3.94
Middle East,LNG exports,2008,60.67
Middle East,Total exports,2008,64.62
Africa,LNG imports,2008,0
Africa,Total imports,2008,0
Africa,Pipeline exports,2008,48.75
Africa,of which: Europe,2008,44.89
Africa,Middle East,2008,3.86
Africa,LNG exports,2008,63.83
Africa,Total exports,2008,112.58
China,Pipeline imports,2008,0
China,of which: Other Asia,2008,0
China,Other CIS,2008,0
China,LNG imports,2008,4.65
China,Total imports,2008,4.65
India,LNG imports,2008,11.29
India,Total imports,2008,11.29
India,LNG exports,2008,0
India,Total exports,2008,0
OECD Asia,Pipeline imports,2008,5.94
OECD Asia,LNG imports,2008,133.61
OECD Asia,Total imports,2008,139.55
OECD Asia,LNG exports,2008,20.89
OECD Asia,Total exports,2008,20.89
Other Asia,LNG imports,2008,12.6
Other Asia,Total imports,2008,12.6
Other Asia,Pipeline exports,2008,5.94
Other Asia,of which: China,2008,0
Other Asia,OECD Asia,2008,5.94
Other Asia,LNG exports,2008,67.67
Other Asia,Total exports,2008,73.6
World,Inter-regional pipeline trade,2008,527.52
World,LNG trade,2008,234.85
World,Total trade,2008,762.37
US,Pipeline imports,2009,89.93
US,LNG imports,2009,12.55
US,Total imports,2009,102.48
US,Pipeline exports,2009,28.32
US,LNG exports,2009,0.82
US,Total exports,2009,29.14
Other North America,Pipeline imports,2009,28.32
Other North America,LNG imports,2009,4.74
Other North America,Total imports,2009,33.06
Other North America,Pipeline exports,2009,89.93
Other North America,LNG exports,2009,0
Other North America,Total exports,2009,89.93
Brazil,Pipeline imports,2009,7.67
Brazil,LNG imports,2009,0.42
Brazil,Total imports,2009,8.09
Brazil,LNG exports,2009,0
Brazil,Total exports,2009,0
Other S&C America,LNG imports,2009,3.07
Other S&C America,Total imports,2009,3.07
Other S&C America,Pipeline exports,2009,7.67
Other S&C America,LNG exports,2009,19.47
Other S&C America,Total exports,2009,27.14
Europe,Pipeline imports,2009,218.35
Europe,of which: Russia,2009,167.42
Europe,Africa,2009,39.32
Europe,Other CIS,2009,6.58
Europe,Middle East,2009,5.03
Europe,LNG imports,2009,70.48
Europe,Total imports,2009,288.82
Europe,LNG exports,2009,3.37
Europe,Total exports,2009,3.37
